Message,Label,Attack Technique,Timestamp
"24.08.24 21:45:42.577 Arp.System.Acf.Internal.ApplicationBase                      INFO  - ArpVersion: 2022.9.0 (22.9.0.33)
",0,0,2024-08-24 21:45:42.577
"24.08.24 21:45:42.590 CommonRemoting                                               INFO  - [IpcRemotingBroker]: Starting IPC Remoting Broker
",0,0,2024-08-24 21:45:42.590
"24.08.24 21:45:42.594 CommonRemoting                                               INFO  - Starting remoting server (version=4)
",0,0,2024-08-24 21:45:42.594
"24.08.24 21:45:42.594 CommonRemoting                                               INFO  - Start listening on IPC *
",0,0,2024-08-24 21:45:42.594
"24.08.24 21:45:42.616 CommonRemoting                                               INFO  - Start listening on TCP port 41120
",0,0,2024-08-24 21:45:42.616
"24.08.24 21:45:42.618 CommonRemoting                                               INFO  - Start listening on IPC MainProcess
",0,0,2024-08-24 21:45:42.618
"24.08.24 21:45:42.620 CommonRemoting                                               INFO  - Start listening on TCP port 41121
",0,0,2024-08-24 21:45:42.620
"24.08.24 21:45:43.023 Arp.System.Acf.Internal.Sm.ProcessesController               INFO  - Process 'MainProcess' started successfully.
",0,0,2024-08-24 21:45:43.023
"24.08.24 21:45:43.292 Arp.System.Acf.Internal.ApplicationBase                      INFO  - ArpVersion: 2022.9.0 (22.9.0.33)
",0,0,2024-08-24 21:45:43.292
"24.08.24 21:45:43.303 CommonRemoting                                               INFO  - Starting remoting server (version=4)
",0,0,2024-08-24 21:45:43.303
"24.08.24 21:45:43.304 CommonRemoting                                               INFO  - Start listening on IPC ExternalIoProcess
",0,0,2024-08-24 21:45:43.304
"24.08.24 21:45:43.320 CommonRemoting                                               INFO  - Start listening on TCP port 41123
",0,0,2024-08-24 21:45:43.320
"24.08.24 21:45:43.322 CommonRemoting                                               INFO  - Accepted connection #0: connectionId=AE6F0753, ipc://<unknown>
",0,0,2024-08-24 21:45:43.322
"24.08.24 21:45:43.330 Arp.System.Acf.Internal.ApplicationBase                      INFO  - ArpVersion: 2022.9.0 (22.9.0.33)
",0,0,2024-08-24 21:45:43.330
"24.08.24 21:45:43.336 CommonRemoting                                               INFO  - Accepted connection #1: connectionId=AC2F3843, ipc://<unknown>
",0,0,2024-08-24 21:45:43.336
"24.08.24 21:45:43.343 CommonRemoting                                               INFO  - Starting remoting server (version=4)
",0,0,2024-08-24 21:45:43.343
"24.08.24 21:45:43.344 CommonRemoting                                               INFO  - Start listening on IPC LocalIoProcess
",0,0,2024-08-24 21:45:43.344
"24.08.24 21:45:43.350 CommonRemoting                                               INFO  - Accepted connection #0: connectionId=AE3F0723, ipc://<unknown>
",0,0,2024-08-24 21:45:43.350
"24.08.24 21:45:43.355 Arp.System.Acf.Internal.ApplicationBase                      INFO  - Application 'ExternalIoProcess' was setup successfully.
",0,0,2024-08-24 21:45:43.355
"24.08.24 21:45:43.364 CommonRemoting                                               INFO  - Start listening on TCP port 41124
",0,0,2024-08-24 21:45:43.364
"24.08.24 21:45:43.366 CommonRemoting                                               INFO  - Accepted connection #2: connectionId=AE6F2A1B, ipc://<unknown>
",0,0,2024-08-24 21:45:43.366
"24.08.24 21:45:43.378 CommonRemoting                                               INFO  - Accepted connection #3: connectionId=AC2F5CAB, ipc://<unknown>
",0,0,2024-08-24 21:45:43.378
"24.08.24 21:45:43.385 CommonRemoting                                               INFO  - Accepted connection #0: connectionId=AE0F0723, ipc://<unknown>
",0,0,2024-08-24 21:45:43.385
"24.08.24 21:45:43.389 Arp.System.Acf.Internal.ApplicationBase                      INFO  - Application 'LocalIoProcess' was setup successfully.
",0,0,2024-08-24 21:45:43.389
